RF,GB,BB,LR,bgm,y
0.0,0.006870929747734132,0.0,0.003929601908315772,0.0021635812446644084,0
0.00399276017373711,0.007976311958241599,0.005,0.013522554641471835,0.01755997067551879,0
0.6811129687242335,0.4901203314624206,0.6300635403270554,0.5328739697617924,0.5545449417159014,1
0.9623083464264155,0.9674104556202332,0.98,0.9695929283814578,0.9714453889286421,1
0.7052638223841314,0.7130395713171962,0.7546526227908795,0.8171013031796195,0.7993823879645392,0
0.0,0.008469912462950768,0.0,0.021606582006584094,0.01287677005726135,0
0.00399276017373711,0.006571092881523164,0.0,0.001849763058109575,0.0044307637958984365,0
0.6782793096331682,0.581429522635532,0.5304323272095931,0.5725764651786209,0.6663811486736694,0
0.6591665647957134,0.6770958878634562,0.7214048170615108,0.6200484807315826,0.7710350403078757,1
0.0057466193832324056,0.006571847988572796,0.0,0.004142802020939412,0.007419461234400571,0
0.00806516977236968,0.03641196104580198,0.0377891156462585,0.04799020648137585,0.0432628469334883,0
0.0,0.010654968491973733,0.0,0.02029735814297656,0.003331558735201857,0
0.00399276017373711,0.00844309035340528,0.0,0.002164445051221343,0.006964945764448196,0
0.2627579477395574,0.3290154707334061,0.43,0.6691816284181862,0.5053543362815277,1
0.8894464543776318,0.8205899873248521,0.845,0.7977854380186036,0.8938034211815207,1
0.01036746271718912,0.05303572008517698,0.035,0.05698223660682208,0.07684103904869281,0
0.01145206413962027,0.04177196468849264,0.05,0.030356865854516916,0.023409766820574995,0
0.7129685223668798,0.9216091633915681,0.9266904761904762,0.947418227983093,0.9434305524072178,1
0.07378870450120066,0.0462206756791434,0.145,0.0357852171122384,0.06037380527961848,0
0.0310356714458068,0.01801631876507163,0.055,0.02153499292643527,0.034592592353353914,0
0.9161038972741192,0.9586128161671983,0.895,0.9191340029260006,0.9634366758478187,1
0.6586659313084486,0.62074548071996,0.6618499089783151,0.5778367194196946,0.6941117836872921,0
0.9516715481223668,0.892123890309601,0.8034332188875593,0.8281825890710842,0.9271718522159066,1
0.995,0.9545519299689769,0.945,0.9444032069415628,0.9825201539823801,1
0.8278423661026965,0.8732926056253751,0.77,0.7621178316541656,0.7254000540823131,1
0.8162335441631575,0.9503188097740419,0.7874260355029585,0.8545392749121533,0.9495779511569371,1
0.675477464949443,0.7926147948860427,0.7891738473463888,0.7356808120230424,0.7814986867891172,0
0.4170124726578153,0.1289556080424608,0.33174281908483777,0.4074294264365897,0.6246802598135841,0
